row,villcode,longitude,latitude,examined,infected,elevation,mean_ndvi,max_ndvi,min_ndvi,stdev_ndvi
1,214,8.04186,5.73675,162,0,108,0.43898148148148203,0.69,0.09,0.139437721433378
2,215,8.00433,5.68028,167,1,99,0.425833333333334,0.74,0.07,0.152983567622855
3,118,8.90555555555556,5.34722222222222,88,5,783,0.491481481481482,0.79,0.12,0.164616886375692
4,219,8.10072,5.91742,62,5,104,0.432407407407408,0.67,0.1,0.122397165460813
5,212,8.18251,5.10454,167,3,109,0.415,0.85,0.1,0.165600013544629
6,116,8.92916666666667,5.35555555555556,66,3,909,0.436388888888889,0.8,0.09,0.191581994029024
7,16,11.36,4.885,163,11,503,0.501944444444445,0.78,0.18,0.147606817544684
8,217,8.06749,5.8978,83,0,103,0.373148148148148,0.69,0.08,0.126717347897677
9,112,9.01805555555556,5.59305555555556,30,4,751,0.480833333333333,0.8,0.1,0.14419045686337
10,104,9.3125,6.00416666666667,57,4,268,0.486574074074074,0.84,0.13,0.152033948723813
11,92,11.50833333,3.35,128,29,392,0.452870370370371,0.82,0.09,0.177821978215039
12,93,11.67083333,3.391666667,402,52,497,0.445462962962963,0.8,0.08,0.188527913891743
13,40,11.283,4.084,185,46,554,0.446944444444444,0.81,0.08,0.185927623006601
14,114,8.95694444444444,5.47222222222222,26,4,858,0.494259259259259,0.9,0.15,0.170443093272524
15,111,9.05277777777778,5.58055555555556,181,20,801,0.482222222222222,0.85,0.17,0.142614658468087
16,108,9.30555555555556,5.94583333333333,128,8,518,0.48462962962963,0.82,0.16,0.161681733783114
17,6,10.345,5.253,156,2,1795,0.482592592592593,0.72,0.18,0.132709861104354
18,306,13.61667,4.433333,169,37,655,0.545462962962963,0.79,0.11,0.163646440517179
19,17,11.23,4.435,136,7,415,0.386296296296296,0.74,0.15,0.152466283035921
20,8,10.23,5.5,151,3,1396,0.5325,0.8,0.27,0.133781276367591
21,7,10.245,5.393,152,3,1523,0.511944444444445,0.74,0.23,0.129372737838966
22,341,14.02778,5.080556,128,60,759,0.513518518518519,0.83,0.1,0.169337989813409
23,9,10.165,5.418,150,2,1673,0.521203703703704,0.78,0.22,0.135396389966872
24,326,15.02222,4.144444,28,12,586,0.606388888888889,0.83,0.19,0.146437178858462
25,3,10.224,5.034,151,20,575,0.49787037037037,0.88,0.15,0.179605231309893
26,120,10.6416666666667,6.57638888888889,195,0,1368,0.50037037037037,0.76,0.2,0.154973171786904
27,5,10.365,5.294,150,2,1703,0.497592592592593,0.72,0.26,0.11458066880693
28,14,10.381,5.176,90,0,1446,0.482962962962963,0.73,0.11,0.123411470855841
29,4,10.26,5.38,79,0,1554,0.52787037037037,0.74,0.16,0.114451564468151
30,1,10.049,5.098,150,11,958,0.602962962962963,0.87,0.29,0.119549459981186
31,226,9.14876,6.63014,132,11,212,0.452777777777778,0.75,0.16,0.143030180027691
32,228,9.12713,6.58249,136,6,573,0.486481481481482,0.74,0.19,0.127874901009013
33,318,14.55,4.794444,152,18,723,0.502037037037037,0.79,0.2,0.176045657094383
34,18,11.185,4.529,89,7,457,0.445740740740741,0.78,0.1,0.153648486455612
35,327,14.85,4.316667,79,25,610,0.53787037037037,0.78,0.16,0.164618226843832
36,126,10.5430555555556,6.51944444444444,119,3,1131,0.543796296296296,0.76,0.22,0.159049264057931
37,319,14.5,5.075,123,35,773,0.53537037037037,0.84,0.14,0.150968375260627
38,94,10.09583333,3.995833333,126,39,68,0.441203703703704,0.89,0.07,0.20524304076033
39,227,9.1073,6.60449,137,24,205,0.467592592592592,0.74,0.15,0.138610395763727
40,19,11.358,4.644,65,1,403,0.433703703703704,0.75,0.12,0.158135116676661
41,20,11.28,4.773,60,5,458,0.483981481481482,0.74,0.14,0.147369075839107
42,95,11.62777778,4.516666667,172,49,534,0.450370370370371,0.76,0.12,0.170627899932501
43,322,14.15556,3.933333,151,44,626,0.601018518518519,0.85,0.13,0.148399182648924
44,96,11.63888889,4.533333333,77,26,562,0.466574074074074,0.8,0.07,0.185986443265562
45,97,11.80555556,3.577777778,75,20,443,0.480833333333333,0.83,0.08,0.180648494332704
46,98,9.883333333,4.4,69,7,4,0.489166666666667,0.86,0.15,0.149254377352487
47,21,11.146,4.601,129,15,470,0.522685185185185,0.85,0.23,0.148636208224283
48,323,14.05,4.066667,132,49,657,0.60212962962963,0.82,0.13,0.156832257112144
49,62,11.258,4.525,277,8,443,0.45,0.76,0.16,0.157610664281727
50,337,14.44444,5.713889,114,29,917,0.486851851851852,0.83,0.08,0.166624813021037
51,336,13.43889,4.566667,158,38,715,0.506574074074074,0.78,0.08,0.182137680474599
52,60,11.258,4.535,49,4,452,0.44962962962963,0.79,0.18,0.15601297529268
53,24,11.316,4.616,69,22,454,0.474814814814815,0.77,0.16,0.147625957507045
54,331,14.11667,5.35,149,33,816,0.531759259259259,0.83,0.1,0.176242339019311
55,124,10.5555555555556,6.52361111111111,78,1,1171,0.552592592592592,0.75,0.26,0.144282759576371
56,338,14.48333,5.891667,126,10,925,0.551666666666667,0.83,0.08,0.152912533791884
57,311,14.43889,4.461111,121,45,631,0.55962962962963,0.84,0.12,0.161834840962613
58,312,13.81111,4.261111,156,41,604,0.586944444444444,0.83,0.25,0.155674344571072
59,305,14.99444,3.583333,181,49,596,0.632685185185185,0.91,0.14,0.154027588750286
60,41,11.295,4.36,99,13,432,0.456111111111111,0.77,0.18,0.151804309183252
61,324,14.47222,4.055556,133,31,615,0.598148148148148,0.86,0.17,0.171819010122656
62,142,10.8,6.19722222222222,186,0,1823,0.5,0.77,0.16,0.142684541926142
63,99,11.95555556,3.841666667,94,28,718,0.485,0.92,0.07,0.194535151665824
64,216,8.02233,5.87702,147,1,101,0.353518518518519,0.64,0.06,0.120608386240052
65,25,11.335,4.83,41,6,479,0.491203703703704,0.79,0.18,0.161162352649085
66,211,8.31265,5.17784,126,1,130,0.42212962962963,0.78,0.11,0.173959125749807
67,117,8.91666666666667,5.31944444444444,24,1,785,0.468703703703704,0.79,0.1,0.168656553040048
68,220,8.12488,5.88602,167,0,112,0.415740740740741,0.64,0.04,0.12199435948125
69,218,8.10365,5.92888,113,0,103,0.430185185185185,0.68,0.13,0.11650663998952
70,204,8.32193,4.99706,139,4,98,0.364074074074074,0.72,0.06,0.157711655955951
71,42,11.35,4.17,141,44,530,0.457314814814815,0.81,0.16,0.167608837461789
72,231,8.64329,6.38781,143,0,169,0.388796296296296,0.74,0.16,0.139964732491062
73,202,8.39965,4.86912,95,7,75,0.363425925925926,0.71,0.06,0.153587395054722
74,203,8.45808,4.95691,115,13,92,0.387962962962963,0.74,0.07,0.17260921916477
75,43,11.386,4.433,184,18,457,0.492962962962963,0.79,0.12,0.16929904559606
76,2,10.16,5.26,132,17,1066,0.598796296296296,0.86,0.21,0.139583610374641
77,59,11.262,4.55,118,2,457,0.397407407407407,0.69,0.12,0.146710792946693
78,339,15.02751,3.87386,122,43,609,0.606851851851852,0.92,0.17,0.167503093279561
79,313,14.6333,4.383333,105,35,618,0.545555555555555,0.81,0.24,0.156003434741323
80,328,14.98056,4.205556,139,52,609,0.542314814814815,0.82,0.22,0.154590846662821
81,307,13.61667,4.202778,132,51,667,0.573055555555556,0.84,0.16,0.18093453317692
82,301,15.13611,3.711111,142,31,609,0.585648148148148,0.86,0.13,0.155071723822394
83,27,11.211,4.586,145,12,456,0.450833333333333,0.78,0.19,0.148179765793627
84,61,11.265,4.525,154,5,436,0.406574074074074,0.72,0.14,0.145648161626284
85,29,11.307,4.653,61,19,458,0.486574074074074,0.78,0.12,0.156981825467702
86,229,9.12477,6.6227,133,3,185,0.46407407407407397,0.72,0.15,0.130642102508084
87,209,8.31016,5.05652,176,4,103,0.399166666666667,0.7,0.05,0.142855557401082
88,213,8.25042,5.07143,77,0,106,0.372222222222222,0.73,0.08,0.155246763677697
89,201,8.41008,4.88695,90,15,77,0.379814814814815,0.77,0.06,0.166121121679905
90,205,8.35013,5.03477,147,1,93,0.376759259259259,0.68,0.08,0.141380567500403
91,207,8.35116,5.0675,175,0,100,0.388333333333333,0.76,0.08,0.143822970102039
92,208,8.34904,5.07744,135,1,104,0.408796296296296,0.76,0.1,0.161718097823726
93,206,8.35487,5.05759,129,2,98,0.385740740740741,0.7,0.09,0.146275912018449
94,230,8.80114,6.64965,140,0,128,0.365925925925926,0.7,0.07,0.133150445702309
95,134,11.1236111111111,6.39722222222222,111,11,954,0.546851851851852,0.8,0.16,0.159810917176753
96,12,10.598,5.773,150,0,1151,0.460092592592592,0.71,0.15,0.153911586286465
97,314,13.98333,4.233333,268,101,613,0.577962962962963,0.84,0.08,0.163385669873801
98,121,10.5958333333333,6.59861111111111,125,4,1147,0.52462962962963,0.74,0.23,0.151616991168788
99,325,14.35,4,140,49,617,0.585092592592592,0.85,0.1,0.167730844528667
100,109,9.29166666666667,5.8625,174,15,751,0.49712962962963,0.81,0.13,0.151928727300996
101,127,10.5888888888889,6.52361111111111,94,3,1227,0.541666666666667,0.76,0.23,0.148610385669952
102,139,10.8222222222222,6.23472222222222,151,0,1649,0.54,0.76,0.21,0.132107291428589
103,30,11.172,4.667,118,6,516,0.470462962962963,0.8,0.2,0.145225472516959
104,82,11.34,6.296,104,30,908,0.550092592592593,0.79,0.24,0.151216224283881
105,340,14.783333,4.333333,99,40,609,0.537592592592593,0.81,0.21,0.157686962880177
106,80,11.445,6.396,374,96,779,0.550555555555556,0.79,0.24,0.144815921397968
107,83,11.25,6.47,240,53,842,0.547592592592593,0.83,0.22,0.170337051085942
108,140,10.8763888888889,6.17222222222222,140,0,1362,0.516759259259259,0.75,0.22,0.141928168640518
109,44,11.505,4.252,130,43,565,0.467685185185185,0.81,0.14,0.175970507732273
110,145,10.9222222222222,6.02777777777778,133,3,814,0.551481481481482,0.76,0.22,0.170413542169611
111,100,9.975,4.5,71,11,69,0.469537037037037,0.9,0.11,0.168030839733125
112,101,10.27222222,3.775,82,10,90,0.399351851851852,0.9,0.07,0.206683979946758
113,11,11.073,5.464,150,29,764,0.616296296296296,0.86,0.27,0.131998248307501
114,10,10.887,5.122,74,4,828,0.559537037037037,0.85,0.31,0.148458649387816
115,85,11.855,6.804,130,3,1132,0.503518518518519,0.76,0.24,0.162505584748402
116,90,11.583,6.4,267,26,1166,0.542314814814815,0.78,0.2,0.155158083278015
117,102,11.75,3.616666667,66,21,472,0.474074074074074,0.85,0.09,0.183313413436835
118,320,14.53333,5.133333,144,59,813,0.548981481481482,0.84,0.08,0.156084926648143
119,45,11.366,4.466,150,6,410,0.466296296296296,0.75,0.14,0.177503942789395
120,122,10.5527777777778,6.625,115,3,1162,0.520740740740741,0.73,0.21,0.154028178655748
121,302,15.06667,3.608333,140,41,601,0.619259259259259,0.88,0.23,0.143048934204406
122,131,11.1097222222222,6.35694444444444,70,29,918,0.572037037037037,0.82,0.12,0.156848395516772
123,115,8.94861111111111,5.425,39,3,933,0.492222222222222,0.91,0.1,0.173654148352049
124,103,11.71666667,3.65,123,28,490,0.484074074074074,0.84,0.12,0.167533157756108
125,91,11.3,6,160,27,696,0.556111111111111,0.83,0.26,0.161423766523874
126,76,11.45,6.06,147,56,762,0.55314814814814794,0.8,0.23,0.143602828104218
127,31,11.369,4.927,91,14,532,0.520555555555555,0.8,0.16,0.146930165453692
128,333,14.05,5.416667,118,33,789,0.516851851851852,0.83,0.09,0.173445825785804
129,79,11.52,6.285,99,20,793,0.5375,0.79,0.23,0.175547874025197
130,86,11.678,6.878,187,0,1382,0.464444444444445,0.72,0.22,0.161889158650212
131,15,10.42,5.034,123,1,1217,0.473796296296296,0.84,0.07,0.171435487403556
132,13,10.5,5,94,6,917,0.552314814814814,0.86,0.14,0.164058380772928
133,104,9.980555556,4.445833333,133,24,268,0.486574074074074,0.84,0.13,0.152033948723813
134,46,11.3,4.32,266,56,456,0.486388888888889,0.78,0.18,0.162281964916227
135,125,10.5722222222222,6.52083333333333,68,5,1209,0.549537037037037,0.77,0.25,0.149887086843244
136,105,11.68888889,3.755555556,162,29,579,0.491944444444444,0.84,0.13,0.172135885973481
137,303,15.05833,3.558333,149,39,572,0.608425925925926,0.9,0.16,0.144766405698148
138,106,11.97916667,3.85,168,41,750,0.499814814814815,0.88,0.09,0.164413323933558
139,107,11.56666667,3.433333333,191,54,388,0.482129629629629,0.87,0.15,0.159221534529114
140,135,11.1611111111111,6.40833333333333,66,7,869,0.550740740740741,0.8,0.24,0.157934706156664
141,32,11.18,4.82,125,5,473,0.495555555555555,0.8,0.22,0.152256137689666
142,315,14.06111,4.238889,53,19,609,0.600740740740741,0.89,0.08,0.163699654905771
143,316,14.575,4.388889,98,14,622,0.611574074074074,0.83,0.19,0.141382770943618
144,129,11.070833333333301,6.33888888888889,112,49,1006,0.599444444444445,0.82,0.2,0.136462882792583
145,350,14.05,4.266666,114,53,618,0.564907407407407,0.86,0.1,0.15290639351663
146,128,11.05,6.33333333333333,91,46,1006,0.581759259259259,0.8,0.33,0.143597494990932
147,144,10.8625,6.16111111111111,105,0,1647,0.499722222222222,0.74,0.2,0.137578920992852
148,123,10.5527777777778,6.54722222222222,146,1,1161,0.564259259259259,0.76,0.29,0.13769941328175
149,108,11.63888889,3.672222222,182,56,518,0.48462962962963,0.82,0.16,0.161681733783114
150,130,11.0888888888889,6.34583333333333,96,51,962,0.549907407407408,0.84,0.14,0.156811067761988
151,110,9.11388888888889,5.56111111111111,107,18,907,0.488425925925926,0.83,0.13,0.164084330022545
152,47,11.175,4.085,121,33,623,0.434722222222222,0.81,0.09,0.18498021280052
153,49,11.48,4.348,178,46,605,0.482407407407407,0.8,0.13,0.179416866284178
154,50,11.515,4.382,165,43,443,0.467222222222222,0.81,0.13,0.177231214594922
155,51,11.43,4.48,149,19,440,0.498425925925926,0.79,0.13,0.163645171408456
156,52,11.48,4.08,260,83,745,0.475555555555555,0.81,0.11,0.174347023878249
157,53,11.184,4.154,84,14,459,0.430462962962963,0.82,0.12,0.183131556100353
158,54,11.481,4.278,326,95,609,0.485740740740741,0.82,0.08,0.176625712841673
159,55,11.375,4.309,121,31,616,0.477314814814815,0.84,0.12,0.174605598188194
160,109,12.01388889,3.904166667,118,36,751,0.49712962962963,0.81,0.13,0.151928727300996
161,110,10.00833333,4.545833333,66,13,907,0.488425925925926,0.83,0.13,0.164084330022545
162,56,11.231,4.236,146,15,457,0.49212962962963003,0.82,0.14,0.172111955119884
163,111,11.56666667,3.3625,174,47,801,0.482222222222222,0.85,0.17,0.142614658468087
164,137,10.9777777777778,6.32777777777778,95,31,833,0.560555555555556,0.79,0.25,0.154035032629784
165,232,8.60972,6.36011,140,2,159,0.405277777777778,0.77,0.08,0.159388189699163
166,57,11.454,4.421,318,57,457,0.475740740740741,0.78,0.16,0.170410190690096
167,136,11.0055555555556,6.34305555555556,107,48,903,0.568148148148148,0.8,0.26,0.159345320351851
168,132,11.1305555555556,6.37222222222222,52,18,878,0.566851851851852,0.81,0.2,0.155579400338294
169,77,11.567,6.175,213,47,847,0.521018518518519,0.76,0.18,0.163323770038126
170,33,11.334,4.576,64,4,513,0.392222222222222,0.73,0.16,0.139855287914445
171,34,11.307,4.8,57,7,456,0.484166666666667,0.76,0.14,0.142816299234725
172,317,14.06667,4.233333,82,32,609,0.605925925925926,0.88,0.12,0.165218841207016
173,89,11.625,6.575,260,4,1204,0.505277777777778,0.71,0.32,0.11273538891037
174,106,9.2375,6.13888888888889,121,7,750,0.499814814814815,0.88,0.09,0.164413323933558
175,107,9.26111111111111,6.14166666666667,159,10,388,0.482129629629629,0.87,0.15,0.159221534529114
176,221,8.37067,6.09264,166,5,106,0.396851851851852,0.66,0.07,0.136871917398126
177,113,8.96111111111111,5.475,79,4,888,0.488888888888889,0.89,0.25,0.153545836763941
178,225,9.12656,6.58986,141,11,318,0.464814814814815,0.73,0.19,0.131465367896036
179,103,9.34722222222222,5.9625,45,1,490,0.484074074074074,0.84,0.12,0.167533157756108
180,81,11.317,6.45,432,162,914,0.568703703703704,0.82,0.22,0.142822630949679
181,146,10.85,6.19027777777778,212,0,1829,0.488333333333333,0.74,0.22,0.135284401018293
182,133,11.15,6.38333333333333,229,24,851,0.553055555555555,0.81,0.23,0.158953695328442
183,78,11.4,6.43,273,110,769,0.570648148148148,0.8,0.29,0.152905035265758
184,105,9.28888888888889,6.00833333333333,134,11,579,0.491944444444444,0.84,0.13,0.172135885973481
185,141,10.9069444444444,6.15972222222222,52,0,1329,0.489351851851852,0.8,0.24,0.147542315477126
186,87,11.77,6.7,299,0,1217,0.482685185185185,0.71,0.25,0.143517926728645
187,35,11.296,4.704,64,7,456,0.443796296296296,0.74,0.12,0.137049807390527
188,88,11.683,6.65,78,4,1220,0.479074074074074,0.67,0.3,0.10371183150664
189,112,9.966666667,4.455555556,80,12,751,0.480833333333333,0.8,0.1,0.14419045686337
190,36,11.049,4.835,132,7,609,0.487037037037037,0.81,0.21,0.162015686671345
191,143,10.8097222222222,6.1875,126,0,1649,0.51787037037037,0.77,0.16,0.145345549754735
192,37,11.475,4.816,91,12,444,0.458055555555555,0.74,0.1,0.163806692167182
193,38,11.055,4.429,144,14,491,0.455462962962963,0.8,0.14,0.151659876834996
194,58,11.454,4.187,97,35,612,0.467685185185185,0.82,0.14,0.178402079120577
195,84,11.6,6.315,335,121,797,0.536388888888889,0.78,0.25,0.164717023465439
196,39,11.12,4.53,138,17,461,0.428611111111111,0.74,0.16,0.144774774054364
197,113,11.51666667,3.433333333,220,73,888,0.488888888888889,0.89,0.25,0.153545836763941
